,Combat Tasks,,File -> Make a Copy to Edit, Showing:  0/2470, Completed:  0/2470,,,"Last Updated: Feb 24, 2025",
,,,,These would put you at: Grandmaster Tier,,You have completed: No Tiers,,Change Log,
To-Do,✓,Boss,Name,Description,Type,Points,Wiki Link,Notes,Calc
FALSE,FALSE,Aberrant Spectre,Noxious Foe,Kill an Aberrant Spectre.,Kill Count,1,https://oldschool.runescape.wiki/w/Noxious%20Foe,,0
FALSE,FALSE,Abyssal Sire,Abyssal Adept,Kill the Abyssal Sire 20 times.,Kill Count,3,https://oldschool.runescape.wiki/w/Abyssal%20Adept,,0
FALSE,FALSE,Abyssal Sire,Don't Whip Me,Kill the Abyssal Sire without being hit by any external tentacles.,Mechanical,3,https://oldschool.runescape.wiki/w/Don%27t%20Whip%20Me,,0
FALSE,FALSE,Abyssal Sire,Don't Stop Moving,Kill the Abyssal Sire without taking damage from any miasma pools.,Perfection,3,https://oldschool.runescape.wiki/w/Don%27t%20Stop%20Moving,,0
FALSE,FALSE,Abyssal Sire,They Grow Up Too Fast,Kill the Abyssal Sire without letting any Scion mature.,Mechanical,3,https://oldschool.runescape.wiki/w/They%20Grow%20Up%20Too%20Fast,,0
FALSE,FALSE,Abyssal Sire,Perfect Sire,"Kill the Abyssal Sire without taking damage from the external tentacles, miasma pools, explosion or damage from the Abyssal Sire without praying the appropriate protection prayer.",Perfection,4,https://oldschool.runescape.wiki/w/Perfect%20Sire,,0
FALSE,FALSE,Abyssal Sire,Abyssal Veteran,Kill the Abyssal Sire 50 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Abyssal%20Veteran,,0
FALSE,FALSE,Abyssal Sire,Demonic Rebound,Use the Vengeance spell to reflect the damage from the Abyssal Sire's explosion back to him.,Mechanical,4,https://oldschool.runescape.wiki/w/Demonic%20Rebound,,0
FALSE,FALSE,Abyssal Sire,Respiratory Runner,Kill the Abyssal Sire after only stunning him once.,Mechanical,4,https://oldschool.runescape.wiki/w/Respiratory%20Runner,,0
FALSE,FALSE,Alchemical Hydra,Alchemical Veteran,Kill the Alchemical Hydra 75 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Alchemical%20Veteran,,0
FALSE,FALSE,Alchemical Hydra,Alchemical Speed-Chaser,Kill the Alchemical Hydra in less than 1 minute 45 seconds.,Speed,5,https://oldschool.runescape.wiki/w/Alchemical%20Speed-Chaser,,0
FALSE,FALSE,Alchemical Hydra,Working Overtime,Kill the Alchemical Hydra 15 times without leaving the room.,Stamina,5,https://oldschool.runescape.wiki/w/Working%20Overtime,,0
FALSE,FALSE,Alchemical Hydra,Lightning Lure,Kill the Alchemical Hydra without being hit by the lightning attack.,Mechanical,5,https://oldschool.runescape.wiki/w/Lightning%20Lure,,0
FALSE,FALSE,Alchemical Hydra,Alcleanical Hydra,Kill the Alchemical Hydra without taking any damage.,Perfection,5,https://oldschool.runescape.wiki/w/Alcleanical%20Hydra,,0
FALSE,FALSE,Alchemical Hydra,Mixing Correctly,Kill the Alchemical Hydra without empowering it.,Mechanical,5,https://oldschool.runescape.wiki/w/Mixing%20Correctly,,0
FALSE,FALSE,Alchemical Hydra,Unrequired Antipoisons,Kill the Alchemical Hydra without being hit by the acid pool attack.,Mechanical,5,https://oldschool.runescape.wiki/w/Unrequired%20Antipoisons,,0
FALSE,FALSE,Alchemical Hydra,Alchemical Master,Kill the Alchemical Hydra 150 times.,Kill Count,5,https://oldschool.runescape.wiki/w/Alchemical%20Master,,0
FALSE,FALSE,Alchemical Hydra,The Flame Skipper,Kill the Alchemical Hydra without letting it spawn a flame wall attack.,Mechanical,5,https://oldschool.runescape.wiki/w/The%20Flame%20Skipper,,0
FALSE,FALSE,Alchemical Hydra,Don't Flame Me,Kill the Alchemical Hydra without being hit by the flame wall attack.,Mechanical,5,https://oldschool.runescape.wiki/w/Don%27t%20Flame%20Me,,0
FALSE,FALSE,Alchemical Hydra,Alchemical Speed-Runner,Kill the Alchemical Hydra in less than 1 minute 20 seconds.,Speed,6,https://oldschool.runescape.wiki/w/Alchemical%20Speed-Runner,,0
FALSE,FALSE,Alchemical Hydra,No Pressure,Kill the Alchemical Hydra using only Dharok's Greataxe as a weapon whilst having no more than 10 Hitpoints throughout the entire fight.,Restriction,6,https://oldschool.runescape.wiki/w/No%20Pressure,,0
FALSE,FALSE,Amoxliatl,Amoxliatl Champion,Kill Amoxliatl once.,Kill Count,2,https://oldschool.runescape.wiki/w/Amoxliatl%20Champion,,0
FALSE,FALSE,Amoxliatl,Amoxliatl Adept,Kill Amoxliatl 20 times.,Kill Count,3,https://oldschool.runescape.wiki/w/Amoxliatl%20Adept,,0
FALSE,FALSE,Amoxliatl,Kemo Makti,Kill Amoxliatl 10 times without leaving her chamber.,Stamina,3,https://oldschool.runescape.wiki/w/Kemo%20Makti,,0
FALSE,FALSE,Amoxliatl,Nagua Negation,Kill Amoxliatl without taking any damage.,Perfection,3,https://oldschool.runescape.wiki/w/Nagua%20Negation,,0
FALSE,FALSE,Amoxliatl,Temotli Triumph,Kill Amoxliatl using only glacial temotli as a weapon.,Restriction,2,https://oldschool.runescape.wiki/w/Temotli%20Triumph,,0
FALSE,FALSE,Amoxliatl,Without Ralos' Light,Kill Amoxliatl without losing any prayer points.,Restriction,4,https://oldschool.runescape.wiki/w/Without%20Ralos%27%20Light,,0
FALSE,FALSE,Amoxliatl,Totally Shattered,Kill Amoxliatl without any of her unstable ice shattering.,Mechanical,3,https://oldschool.runescape.wiki/w/Totally%20Shattered,,0
FALSE,FALSE,Amoxliatl,Amoxliatl Speed-Trialist,Kill Amoxliatl in less than 1 minute.,Speed,3,https://oldschool.runescape.wiki/w/Amoxliatl%20Speed-Trialist,,0
FALSE,FALSE,Amoxliatl,Amoxliatl Speed-Chaser,Kill Amoxliatl in less than 30 seconds.,Speed,4,https://oldschool.runescape.wiki/w/Amoxliatl%20Speed-Chaser,,0
FALSE,FALSE,Araxxor,Araxxor Speed-Trialist,Kill Araxxor 4 times in 10:00,Speed,4,https://oldschool.runescape.wiki/w/Araxxor%20Speed-Trialist,,0
FALSE,FALSE,Araxxor,Araxxor Speed-Chaser,Kill Araxxor 5 times in 10:00,Speed,5,https://oldschool.runescape.wiki/w/Araxxor%20Speed-Chaser,,0
FALSE,FALSE,Araxxor,Araxxor Speed-Runner,Kill Araxxor 6 times in 10:00,Speed,6,https://oldschool.runescape.wiki/w/Araxxor%20Speed-Runner,,0
FALSE,FALSE,Araxxor,Araxxor Veteran,Kill Araxxor 25 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Araxxor%20Veteran,,0
FALSE,FALSE,Araxxor,Araxxor Master,Kill Araxxor 75 times.,Kill Count,5,https://oldschool.runescape.wiki/w/Araxxor%20Master,,0
FALSE,FALSE,Araxxor,Perfect Araxxor,Kill Araxxor perfectly.,Perfection,5,https://oldschool.runescape.wiki/w/Perfect%20Araxxor,,0
FALSE,FALSE,Araxxor,Perfect Araxxor 2,Kill Araxxor perfectly without damaging the boss during the enrage phase.,Perfection,6,https://oldschool.runescape.wiki/w/Perfect%20Araxxor%202,,0
FALSE,FALSE,Araxxor,Araxyte Betrayal,Have an Araxyte kill three other Araxytes.,Mechanical,5,https://oldschool.runescape.wiki/w/Araxyte%20Betrayal,,0
FALSE,FALSE,Araxxor,Let it seep in,Kill Araxxor without ever having venom or poison immunity.,Restriction,5,https://oldschool.runescape.wiki/w/Let%20it%20seep%20in,,0
FALSE,FALSE,Araxxor,Relaxed Gamer,Kill Araxxor after destroying six eggs.,Restriction,4,https://oldschool.runescape.wiki/w/Relaxed%20Gamer,,0
FALSE,FALSE,Araxxor,Arachnid Lover,Kill Araxxor 10 times without leaving.,Stamina,5,https://oldschool.runescape.wiki/w/Arachnid%20Lover,,0
FALSE,FALSE,Araxxor,Swimming in Venom,Kill Araxxor without the boss ever moving.,Restriction,6,https://oldschool.runescape.wiki/w/Swimming%20in%20Venom,,0
FALSE,FALSE,Barrows,Defence? What Defence?,Kill any Barrows Brother using only magical damage.,Restriction,1,https://oldschool.runescape.wiki/w/Defence%3F%20What%20Defence%3F,,0
FALSE,FALSE,Barrows,Barrows Novice,Open the Barrows chest 10 times.,Kill Count,1,https://oldschool.runescape.wiki/w/Barrows%20Novice,,0
FALSE,FALSE,Barrows,Pray for Success,Kill all six Barrows Brothers and loot the Barrows chest without taking any damage from any of the brothers.,Perfection,2,https://oldschool.runescape.wiki/w/Pray%20for%20Success,,0
FALSE,FALSE,Barrows,Barrows Champion,Open the Barrows chest 25 times.,Kill Count,2,https://oldschool.runescape.wiki/w/Barrows%20Champion,,0
FALSE,FALSE,Barrows,Can't Touch Me,"Kill Dharok, Verac, Torag and Guthan without letting them attack you with melee.",Mechanical,2,https://oldschool.runescape.wiki/w/Can%27t%20Touch%20Me,,0
FALSE,FALSE,Barrows,Faithless Crypt Run,Kill all six Barrows Brothers and loot the Barrows chest without ever having more than 0 prayer points.,Restriction,3,https://oldschool.runescape.wiki/w/Faithless%20Crypt%20Run,,0
FALSE,FALSE,Barrows,Just Like That,Kill Karil using only damage dealt by special attacks.,Restriction,3,https://oldschool.runescape.wiki/w/Just%20Like%20That,,0
FALSE,FALSE,Basilisk Knight,Reflecting on This Encounter,Kill a Basilisk Knight.,Kill Count,4,https://oldschool.runescape.wiki/w/Reflecting%20on%20This%20Encounter,,0
FALSE,FALSE,Black Dragon,"Big, Black and Fiery",Kill a Black Dragon.,Kill Count,1,https://oldschool.runescape.wiki/w/Big%2C%20Black%20and%20Fiery,,0
FALSE,FALSE,Bloodveld,The Demonic Punching Bag,Kill a Bloodveld.,Kill Count,1,https://oldschool.runescape.wiki/w/The%20Demonic%20Punching%20Bag,,0
